HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
generated_context	dblp:inYear	author_356043	0.3930
generated_context	dblp:inYear	doi_75287	0.3552
generated_context	dblp:paperType	pub_506703	0.4931
generated_context	dblp:wrote	link_54587	0.3360
generated_context	dblp:inYear	link_384371	0.3927
generated_context	dblp:paperType	pub_336538	0.4722
generated_context	dblp:publishedIn	doi_669380	0.9222
generated_context	dblp:hasDOI	link_72383	0.6729
generated_context	dblp:hasLink	link_306489	0.4732
generated_context	dblp:hasDOI	link_951366	0.6628
generated_context	dblp:hasLink	link_17000	0.5383
generated_context	dblp:publishedIn	link_469956	0.7661
generated_context	dblp:partOf	author_708117	0.6491
generated_context	dblp:hasLink	doi_356299	0.4554
generated_context	dblp:paperType	author_855532	0.3994
generated_context	dblp:inYear	author_856503	0.5283
generated_context	dblp:partOf	link_324447	0.6663
generated_context	dblp:publishedIn	author_343813	0.8418
generated_context	dblp:inYear	link_141680	0.3862
generated_context	dblp:inYear	link_147571	0.3876
generated_context	dblp:inYear	doi_132824	0.3726
generated_context	dblp:wrote	link_413466	0.3167
generated_context	dblp:hasDOI	link_851936	0.7472
generated_context	dblp:publishedIn	author_1081139	0.9315
generated_context	dblp:paperType	pub_796796	0.4013
generated_context	dblp:hasDOI	link_545005	0.5664
generated_context	dblp:wrote	pub_349929	0.2623
generated_context	dblp:wrote	author_769672	0.3485
generated_context	dblp:wrote	author_416940	0.3260
generated_context	dblp:hasLink	link_108838	0.4563
generated_context	dblp:wrote	doi_655686	0.3605
generated_context	dblp:paperType	author_256758	0.4419
generated_context	dblp:hasAuthor	pub_701321	0.3140
generated_context	dblp:hasDOI	pub_651664	0.6705
generated_context	dblp:partOf	author_370592	0.5678
generated_context	dblp:hasAuthor	author_1053492	0.4204
generated_context	dblp:inYear	author_480519	0.3989
generated_context	dblp:hasAuthor	doi_683879	0.3809
generated_context	dblp:hasAuthor	author_96000	0.3719
generated_context	dblp:publishedIn	author_687900	0.9433
generated_context	dblp:publishedIn	author_984583	0.7568
generated_context	dblp:hasDOI	doi_644835	0.4688
generated_context	dblp:inYear	pub_561481	0.4112
generated_context	dblp:partOf	author_292599	0.5465
generated_context	dblp:partOf	doi_283872	0.5491
generated_context	dblp:wrote	doi_388128	0.3774
generated_context	dblp:hasDOI	link_422339	0.5704
generated_context	dblp:hasLink	link_92958	0.4753
generated_context	dblp:paperType	author_848382	0.4727
generated_context	dblp:wrote	doi_347394	0.3204
generated_context	dblp:publishedIn	link_267159	0.9142
generated_context	dblp:hasDOI	doi_394014	0.6267
generated_context	dblp:partOf	link_190737	0.5220
generated_context	dblp:hasAuthor	link_697113	0.3849
generated_context	dblp:hasAuthor	pub_154272	0.3244
generated_context	dblp:hasLink	author_485976	0.4451
generated_context	dblp:hasDOI	pub_382114	0.5617
generated_context	dblp:inYear	author_686375	0.4414
generated_context	dblp:publishedIn	author_745394	0.8759
generated_context	dblp:hasAuthor	link_69683	0.3308
generated_context	dblp:hasDOI	doi_519111	0.5765
generated_context	dblp:inYear	author_942150	0.4282
generated_context	dblp:hasLink	author_22215	0.5421
generated_context	dblp:inYear	link_49240	0.4481
generated_context	dblp:inYear	author_244248	0.3759
generated_context	dblp:partOf	link_469357	0.6917
generated_context	dblp:paperType	doi_505207	0.4695
generated_context	dblp:hasDOI	link_266178	0.5951
generated_context	dblp:wrote	author_654873	0.2842
generated_context	dblp:hasAuthor	link_377774	0.3051
generated_context	dblp:paperType	author_95843	0.3958
generated_context	dblp:hasLink	author_838811	0.4820
generated_context	dblp:wrote	author_961635	0.3093
generated_context	dblp:hasDOI	doi_599400	0.5423
generated_context	dblp:publishedIn	link_243527	0.7863
generated_context	dblp:hasDOI	link_855873	0.5493
generated_context	dblp:wrote	author_138924	0.3040
generated_context	dblp:wrote	author_614824	0.3735
generated_context	dblp:inYear	link_289928	0.3741
generated_context	dblp:wrote	pub_276826	0.3186
generated_context	dblp:inYear	doi_431620	0.4339
generated_context	dblp:hasLink	author_443639	0.4729
generated_context	dblp:inYear	doi_697009	0.4565
generated_context	dblp:paperType	link_584764	0.3892
generated_context	dblp:wrote	author_993394	0.3945
generated_context	dblp:wrote	doi_608261	0.3480
generated_context	dblp:hasLink	author_516375	0.4770
generated_context	dblp:publishedIn	author_127852	0.8454
generated_context	dblp:hasAuthor	author_119832	0.3081
generated_context	dblp:hasDOI	author_719394	0.5084
generated_context	dblp:hasLink	author_953044	0.5717
generated_context	dblp:hasAuthor	pub_64314	0.3251
generated_context	dblp:hasAuthor	doi_163523	0.3919
generated_context	dblp:inYear	doi_326289	0.4676
generated_context	dblp:hasAuthor	doi_387635	0.3886
generated_context	dblp:hasLink	author_641292	0.4882
generated_context	dblp:hasAuthor	link_569556	0.2894
generated_context	dblp:wrote	pub_800090	0.2904
generated_context	dblp:hasDOI	author_622461	0.6014
generated_context	dblp:paperType	doi_240605	0.4394
generated_context	dblp:wrote	doi_28970	0.3035
generated_context	dblp:publishedIn	author_551387	0.8185
generated_context	dblp:inYear	link_578349	0.3885
